School,Total Allocation,Minimum Allocation to be Awarded for Emergency Financial-Aid Grants to Students
Arizona State University,63533137,31766569
Pennsylvania State University (The),54994846,27497423
"Rutgers, The State University Of New Jersey",54160640,27080320
University Of Central Florida,51071250,25535625
Miami Dade College,49074737,24537369
Georgia State University,45243852,22621926
"California State University, Northridge",44652328,22326164
Ohio State University (The),42885215,21442608
"California State University, Long Beach",41729439,20864720
"California State University, Fullerton",41021512,20510756
Texas A&M University,39816443,19908222
University Of Washington - Seattle,39715956,19857978
Florida International University,38301957,19150979
"California State University, Los Angeles",37914166,18957083
"University Of California, Irvine",36731629,18365815
University Of Houston,36703283,18351642
"University Of California, Los Angeles",35906870,17953435
California State University - Sacramento,35734362,17867181
"University Of California, San Diego",34889769,17444885
University Of South Florida,34839748,17419874
University Of Texas - Rio Grande Valley,34334258,17167129
"University Of California, Davis",33871763,16935882
Ivy Tech Community College Of Indiana,33040571,16520286
"California State University, Fresno",32802107,16401054
Brigham Young University,32272986,16136493
Texas State University,31791509,15895755
University Of Texas At Austin,31462321,15731161
University Of Illinois At Urbana-Champaign,31448178,15724089
University Of Florida,31046411,15523206
University Of Arizona (The),30953447,15476724
"California State Polytechnic University, Pomona",30904089,15452045
"University Of California, Berkeley",30440627,15220314
University Of Illinois At Chicago,29874590,14937295
Michigan State University,29836588,14918294
"University Of California, Riverside",29734626,14867313
University Of Texas At San Antonio,29656887,14828444
San Diego State University,29394934,14697467
Florida State University,29339828,14669914
University Of North Texas,29018088,14509044
Lone Star College System,28823255,14411628
San Jose State University,28769546,14384773
Temple University,28740378,14370189
San Francisco State University,28725948,14362974
Houston Community College,28294391,14147196
Kennesaw State University,27911927,13955964
Valencia College,27682203,13841102
Broward College,27154901,13577451
Cuny Borough Of Manhattan Community College,26420828,13210414
"California State University, San Bernardino",26243781,13121891
University Of Minnesota - Twin Cities,25794123,12897062
New York University,25626944,12813472
Texas Tech University,25515252,12757626
University Of Michigan - Ann Arbor,25244052,12622026
